Date,Package,Title
10/28/22,amap,Another Multidimensional Analysis Package
10/28/22,arkhe,Tools for Cleaning Rectangular Data
10/28/22,babelmixr2,Use 'nlmixr2' to Interact with Open Source and Commercial Software
10/28/22,bangladesh,Provides Ready to Use Shapefiles for Geographical Map of Bangladesh
10/28/22,bigDM,Scalable Bayesian Disease Mapping Models for High-Dimensional Data
10/28/22,cacc,Conjunctive Analysis of Case Configurations
10/28/22,cmsafops,Tools for CM SAF NetCDF Data
10/28/22,COINr,Composite Indicator Construction and Analysis
10/28/22,colourpicker,A Colour Picker Tool for Shiny and for Selecting Colours in Plots
10/28/22,covatest,Tests on Properties of Space-Time Covariance Functions
10/28/22,expint,Exponential Integral and Incomplete Gamma Function
10/28/22,gmp,Multiple Precision Arithmetic
10/28/22,Greymodels,Shiny App for Grey Forecasting Model
10/28/22,MAnorm2,Tools for Normalizing and Comparing ChIP-seq Samples
10/28/22,MedianaDesigner,Power and Sample Size Calculations for Clinical Trials
10/28/22,metevalue,E-Value in the Omics Data Association Studies
10/28/22,migest,Methods for the Indirect Estimation of Bilateral Migration
10/28/22,MinkowskiSum,Minkowski Addition Between 3D Meshes
10/28/22,mlpack,'Rcpp' Integration for the 'mlpack' Library
10/28/22,morse,Modelling Reproduction and Survival Data in Ecotoxicology
10/28/22,pkgload,Simulate Package Installation and Attach
10/28/22,RCLabels,Manipulate Matrix Row and Column Labels with Ease
10/28/22,reproj,Coordinate System Transformations for Generic Map Data
10/28/22,robustbetareg,Robust Beta Regression
10/28/22,sbtools,USGS ScienceBase Tools
10/28/22,scanstatistics,Space-Time Anomaly Detection using Scan Statistics
10/28/22,shroomDK,Accessing the Flipside Crypto ShroomDK REST API
10/28/22,simcausal,Simulating Longitudinal Data with Causal Inference Applications
10/28/22,SISIR,Select Intervals Suited for Functional Regression
10/28/22,snapchatadsR,Get Snapchat Ads Data via the 'Windsor.ai' API
10/28/22,SpeTestNP,Non-Parametric Tests of Parametric Specifications
10/28/22,sps,Sequential Poisson Sampling
10/28/22,VIC5,The Variable Infiltration Capacity (VIC) Hydrological Model
10/28/22,wnl,Minimization Tool for Pharmacokinetic-Pharmacodynamic Data Analysis
10/28/22,XML,Tools for Parsing and Generating XML Within R and S-Plus
10/27/22,actuar,Actuarial Functions and Heavy Tailed Distributions
10/27/22,amazonadsR,Get Amazon Ads Data via the 'Windsor.ai' API
10/27/22,bigrquery,An Interface to Google's 'BigQuery' 'API'
10/27/22,biometryassist,Functions to Assist Design and Analysis of Agronomic Experiments
10/27/22,BrazilMet,Download and Processing of Automatic Weather Stations (AWS) Data of INMET-Brazil
10/27/22,chromer,Interface to Chromosome Counts Database API
10/27/22,dbscan,Density-Based Spatial Clustering of Applications with Noise (DBSCAN) and Related Algorithms
10/27/22,dipm,Depth Importance in Precision Medicine (DIPM) Method
10/27/22,discourseGT,Analyze Group Patterns using Graph Theory in Educational Settings
10/27/22,easyr,Helpful Functions from Oliver Wyman Actuarial Consulting
10/27/22,emmeans,"Estimated Marginal Means, aka Least-Squares Means"
10/27/22,epade,Easy Plots
10/27/22,fastWavelets,Compute Maximal Overlap Discrete Wavelet Transform (MODWT) and À Trous Discrete Wavelet Transform
10/27/22,galah,Biodiversity Data from the Living Atlas Community
10/27/22,genieBPC,Project GENIE BioPharma Collaborative Data Processing Pipeline
10/27/22,geometa,Tools for Reading and Writing ISO/OGC Geographic Metadata
10/27/22,gghdr,Visualisation of Highest Density Regions in 'ggplot2'
10/27/22,gMWT,Generalized Mann-Whitney Type Tests
10/27/22,googleErrorReportingR,Send Error Reports to the Google Error Reporting Service API
10/27/22,inlpubs,USGS INL Project Office Publications
10/27/22,keyring,Access the System Credential Store from R
10/27/22,likelihoodR,Likelihood Analyses for Common Statistical Tests
10/27/22,mclogit,"Multinomial Logit Models, with or without Random Effects or Overdispersion"
10/27/22,mind,Multivariate Model Based Inference for Domains
10/27/22,mlflow,Interface to 'MLflow'
10/27/22,mRpostman,An IMAP Client for R
10/27/22,mtdesign,Mander and Thompson Designs
10/27/22,oskeyring,Raw System Credential Store Access from R
10/27/22,parma,Portfolio Allocation and Risk Management Applications
10/27/22,parsedate,"Recognize and Parse Dates in Various Formats, Including All ISO 8601 Formats"
10/27/22,pompp,Presence-Only for Marked Point Process
10/27/22,rayrender,Build and Raytrace 3D Scenes
10/27/22,RcppAnnoy,"'Rcpp' Bindings for 'Annoy', a Library for Approximate Nearest Neighbors"
10/27/22,repeated,Non-Normal Repeated Measurements Models
10/27/22,rmutil,Utilities for Nonlinear Regression and Repeated Measurements Models
10/27/22,rts2,Real-Time Disease Surveillance
10/27/22,semnar,Constructing and Interacting with Databases of Presentations
10/27/22,sfnetworks,Tidy Geospatial Networks
10/27/22,socialmixr,Social Mixing Matrices for Infectious Disease Modelling
10/27/22,socialranking,Social Ranking Solutions for Power Relations on Coalitions
10/27/22,starter,Starter Kit for New Projects
10/27/22,stringx,Drop-in Replacements for Base String Functions Powered by 'stringi'
10/27/22,tidyfst,Tidy Verbs for Fast Data Manipulation
10/27/22,tidync,A Tidy Approach to 'NetCDF' Data Exploration and Extraction
10/27/22,tidyvpc,VPC Percentiles and Prediction Intervals
10/27/22,trinROC,Statistical Tests for Assessing Trinormal ROC Data
10/27/22,twitteradsR,Get Twitter Ads Data via the 'Windsor.ai' API
10/27/22,vglmer,Variational Inference for Hierarchical Generalized Linear Models
10/27/22,whitebox,'WhiteboxTools' R Frontend
10/26/22,arrow,Integration to 'Apache' 'Arrow'
10/26/22,asciicast,Create 'Ascii' Screen Casts from R Scripts
10/26/22,bayefdr,Bayesian Estimation and Optimisation of Expected False Discovery Rate
10/26/22,BayesLN,Bayesian Inference for Log-Normal Data
10/26/22,Bayesrel,Bayesian Reliability Estimation
10/26/22,BGVAR,Bayesian Global Vector Autoregressions
10/26/22,bio3d,Biological Structure Analysis
10/26/22,biogeom,Biological Geometries
10/26/22,cfid,Identification of Counterfactual Queries in Causal Models
10/26/22,cld2,Google's Compact Language Detector 2
10/26/22,cleancall,C Resource Cleanup via Exit Handlers
10/26/22,CropScapeR,Access Cropland Data Layer Data via the 'CropScape' Web Service
10/26/22,CSTools,Assessing Skill of Climate Forecasts on Seasonal-to-Decadal Timescales
10/26/22,deaR,Conventional and Fuzzy Data Envelopment Analysis
10/26/22,espadon,Easy Study of Patient DICOM Data in Oncology
10/26/22,fbnet,Forensic Bayesian Networks
10/26/22,fNonlinear,Rmetrics - Nonlinear and Chaotic Time Series Modelling
10/26/22,fwb,Fractional Weighted Bootstrap
10/26/22,glmmML,Generalized Linear Models with Clustering
10/26/22,GMDH2,Binary Classification via GMDH-Type Neural Network Algorithms
10/26/22,hgm,Holonomic Gradient Method and Gradient Descent
10/26/22,highfrequency,Tools for Highfrequency Data Analysis
10/26/22,HKprocess,Hurst-Kolmogorov Process
10/26/22,HYPEtools,Tools for Processing and Analysing Files from the Hydrological Catchment Model HYPE
10/26/22,keypress,Wait for a Key Press in a Terminal
10/26/22,kit,Data Manipulation Functions Implemented in C
10/26/22,LA,Lioness Algorithm (LA)
10/26/22,latrend,A Framework for Clustering Longitudinal Data
10/26/22,meltt,"Matching Event Data by Location, Time and Type"
10/26/22,mlmtools,Multi-Level Model Assessment Kit
10/26/22,ncmeta,Straightforward 'NetCDF' Metadata
10/26/22,pbdSLAP,Programming with Big Data – Scalable Linear Algebra Packages
10/26/22,pedbp,Pediatric Blood Pressure
10/26/22,phase,Analyse Biological Time-Series Data
10/26/22,pingr,Check if a Remote Computer is Up
10/26/22,pkgcache,Cache 'CRAN'-Like Metadata and R Packages
10/26/22,pkgsearch,Search and Query CRAN R Packages
10/26/22,pollster,Calculate Crosstab and Topline Tables of Weighted Survey Data
10/26/22,processx,Execute and Control System Processes
10/26/22,ps,"List, Query, Manipulate System Processes"
10/26/22,R2sample,Two Sample Problem Routines using Permutation
10/26/22,rCNV,Detect Copy Number Variants from SNPs Data
10/26/22,regtomean,Regression Toward the Mean
10/26/22,RQuantLib,R Interface to the 'QuantLib' Library
10/26/22,rugarch,Univariate GARCH Models
10/26/22,sdcMicro,Statistical Disclosure Control Methods for Anonymization of Data and Risk Estimation
10/26/22,shinyHugePlot,Efficient Plotting of Large-Sized Data
10/26/22,simPop,Simulation of Complex Synthetic Data Information
10/26/22,SpatialKDE,Kernel Density Estimation for Spatial Data
10/26/22,spTimer,Spatio-Temporal Bayesian Modelling
10/26/22,StratifiedSampling,Different Methods for Stratified Sampling
10/26/22,synthACS,Synthetic Microdata and Spatial MicroSimulation Modeling for ACS Data
10/26/22,yamlet,Versatile Curation of Table Metadata
10/26/22,ympes,Collection of Helper Functions
10/26/22,zip,Cross-Platform 'zip' Compression
10/25/22,bartMachine,Bayesian Additive Regression Trees
10/25/22,bbotk,Black-Box Optimization Toolkit
10/25/22,BiocManager,Access the Bioconductor Project Package Repository
10/25/22,biomod2,Ensemble Platform for Species Distribution Modeling
10/25/22,cmfrec,Collective Matrix Factorization for Recommender Systems
10/25/22,cxhull,Convex Hull
10/25/22,edecob,Event Detection Using Confidence Bounds
10/25/22,fastqq,Faster Generation of Quantile Quantile Plots with Large Samples
10/25/22,fastRhockey,Functions to Access Premier Hockey Federation and National Hockey League Play by Play Data
10/25/22,fontawesome,Easily Work with 'Font Awesome' Icons
10/25/22,foreSIGHT,Systems Insights from Generation of Hydroclimatic Timeseries
10/25/22,ggborderline,Line Plots that Pop
10/25/22,IGCities,Simulate Impact of Different Urban Policies Through a General Equilibrium Model
10/25/22,krippendorffsalpha,Measuring Agreement Using Krippendorff's Alpha Coefficient
10/25/22,lava,Latent Variable Models
10/25/22,LOGAN,Log File Analysis in International Large-Scale Assessments
10/25/22,lrstat,Power and Sample Size Calculation for Non-Proportional Hazards
10/25/22,meanr,Sentiment Analysis Scorer
10/25/22,netgsa,Network-Based Gene Set Analysis
10/25/22,OpenRepGrid.ic,Interpretive Clustering for Repertory Grids
10/25/22,ordbetareg,Ordered Beta Regression Models with Brms
10/25/22,pbdMPI,Programming with Big Data – Interface to MPI
10/25/22,pbdZMQ,Programming with Big Data – Interface to 'ZeroMQ'
10/25/22,peopleanalytics,"Data Sets for Craig Starbuck's Book, ""The Fundamentals of People Analytics: With Applications in R"""
10/25/22,phyclust,Phylogenetic Clustering (Phyloclustering)
10/25/22,poismf,Factorization of Sparse Counts Matrices Through Poisson Likelihood
10/25/22,protolite,Highly Optimized Protocol Buffer Serializers
10/25/22,qrLMM,Quantile Regression for Linear Mixed-Effects Models
10/25/22,rbmi,Reference Based Multiple Imputation
10/25/22,RCPmod,Regions of Common Profiles Modelling with Mixtures-of-Experts
10/25/22,RHSDB,Ryan-Holm Step-Down Bonferroni or Sidak Procedure
10/25/22,rim,"R's Interface to Maxima, Bringing Symbolic Computation into R"
10/25/22,rioja,Analysis of Quaternary Science Data
10/25/22,rtkore,'STK++' Core Library Integration to 'R' using 'Rcpp'
10/25/22,SCpubr,Generate Publication Ready Visualizations of Single Cell Transcriptomics Data
10/25/22,shiny,Web Application Framework for R
10/25/22,socialh,Rank and Social Hierarchy for Gregarious Animals
10/25/22,spacefillr,Space-Filling Random and Quasi-Random Sequences
10/25/22,spatstat.geom,Geometrical Functionality of the 'spatstat' Family
10/25/22,targeted,Targeted Inference
10/25/22,templr,MASCOTNUM Algorithms Template Tools
10/25/22,tidytable,Tidy Interface to 'data.table'
10/25/22,topr,Create Custom Plots for Viewing Genetic Association Results
10/25/22,volatilityTrader,High Volatility Environment Option Trading Strategies Graphs
